ubigeo,total_emergencias
010101,119215.0
010201,79019.0
010307,207.0
010401,8307.0
010601,12799.0
010701,75723.0
020101,137424.0
020102,0.0
020103,0.0
020104,0.0
020105,34140.0
020106,0.0
020107,0.0
020108,0.0
020109,0.0
020110,0.0
020111,0.0
020112,0.0
020201,126.0
020202,0.0
020203,0.0
020204,0.0
020205,0.0
020401,1100.0
020402,0.0
020501,430.0
020502,0.0
020503,0.0
020504,0.0
020505,11.0
020506,0.0
020507,3.0
020508,200.0
020509,0.0
020510,0.0
020511,0.0
020512,0.0
020513,0.0
020514,0.0
020515,0.0
020601,29100.0
020602,0.0
020603,0.0
020604,0.0
020605,0.0
020606,392.0
020607,0.0
020608,0.0
020609,0.0
020610,0.0
020611,0.0
020801,84403.0
020802,0.0
020803,0.0
020804,0.0
021001,15499.0
021101,66007.0
021102,0.0
021103,0.0
021104,0.0
021105,0.0
021201,31320.0
021301,2003.0
021302,0.0
021303,209.0
021304,721.0
021305,350.0
021306,5960.0
021307,0.0
021308,412.0
021401,0.0
021402,0.0
021403,0.0
021404,0.0
021405,0.0
021406,0.0
021407,0.0
021408,0.0
021409,0.0
021410,0.0
021501,117.0
021503,2328.0
021508,158.0
021509,752.0
021601,20833.0
021602,0.0
021603,172774.0
021604,127643.0
021701,12152.0
021702,0.0
021703,0.0
021704,0.0
021705,0.0
021706,0.0
021707,0.0
021708,0.0
021709,0.0
021710,0.0
021801,1052122.0
021802,0.0
021803,61640.0
021805,0.0
021806,10358.0
021807,0.0
021809,307465.0
021901,18959.0
021902,16390.0
021903,15602.0
021904,0.0
021905,63582.0
021906,0.0
021907,72935.0
021908,0.0
021909,0.0
021910,0.0
022001,19938.0
022003,0.0
022005,0.0
030101,246468.0
030104,14167.0
030201,141899.0
030501,99199.0
030601,5986.0
040101,1370543.0
040102,0.0
040103,138539.0
040104,93629.0
040105,0.0
040106,0.0
040107,44013.0
040108,955.0
040109,20077.0
040110,2195.0
040111,0.0
040112,597960.0
040113,0.0
040114,0.0
040115,0.0
040116,0.0
040117,0.0
040118,0.0
040119,0.0
040120,0.0
040121,0.0
040122,26773.0
040123,0.0
040124,0.0
040125,0.0
040126,1896263.0
040127,0.0
040128,0.0
040129,0.0
040201,42057.0
040202,0.0
040203,0.0
040204,0.0
040205,0.0
040206,0.0
040207,0.0
040208,92680.0
040302,1437.0
040303,0.0
040307,612.0
040401,16953.0
040402,0.0
040403,0.0
040404,0.0
040405,0.0
040406,0.0
040408,0.0
040409,0.0
040410,633.0
040411,0.0
040412,0.0
040413,719.0
040414,0.0
040501,11496.0
040502,0.0
040503,0.0
040504,0.0
040505,0.0
040506,0.0
040507,0.0
040508,0.0
040509,0.0
040510,0.0
040511,0.0
040512,0.0
040513,0.0
040514,0.0
040515,0.0
040516,0.0
040517,0.0
040518,0.0
040519,0.0
040520,82566.0
040601,2546.0
040602,0.0
040603,0.0
040604,0.0
040605,0.0
040607,0.0
040608,0.0
040701,283640.0
040702,147.0
040703,3690.0
040704,876.0
040705,0.0
040706,470.0
040801,3222.0
040802,0.0
040803,0.0
040804,0.0
040805,0.0
040806,0.0
040807,0.0
040808,0.0
040809,0.0
040810,0.0
040811,0.0
050101,101339.0
050102,129.0
050104,4918.0
050105,0.0
050106,81.0
050107,0.0
050109,0.0
050110,380350.0
050111,0.0
050112,0.0
050113,0.0
050114,21.0
050115,8625.0
050116,10107.0
050201,5778.0
050202,118.0
050203,2372.0
050204,140.0
050205,12.0
050206,19.0
050301,909.0
050302,0.0
050303,0.0
050304,0.0
050401,15608.0
050407,4091.0
050501,150330.0
050503,8291.0
050509,136.0
050601,19647.0
050701,11635.0
050901,1840.0
050902,0.0
050903,0.0
050904,0.0
050905,0.0
050906,0.0
050907,0.0
050908,0.0
050909,0.0
050910,0.0
050911,140.0
051001,726.0
051002,0.0
051003,0.0
051004,0.0
051005,52.0
051006,0.0
051007,0.0
051008,0.0
051009,0.0
051010,54.0
051011,0.0
051012,0.0
051101,2198.0
051102,0.0
051103,0.0
051104,0.0
051105,0.0
051106,0.0
051107,0.0
051108,228.0
060101,357818.0
060102,8.0
060103,67.0
060104,4.0
060105,0.0
060106,208.0
060107,0.0
060108,6957.0
060109,14.0
060110,0.0
060111,11.0
060112,7.0
060201,19631.0
060301,24508.0
060302,10.0
060303,0.0
060305,0.0
060306,2.0
060307,0.0
060308,67.0
060310,269.0
060312,35.0
060401,24225.0
060501,1264.0
060502,5523.0
060503,0.0
060504,0.0
060505,1.0
060506,0.0
060507,7.0
060508,4049.0
060601,31126.0
060602,373.0
060603,0.0
060604,0.0
060605,58.0
060606,0.0
060607,461.0
060608,0.0
060609,0.0
060610,0.0
060611,0.0
060612,0.0
060613,0.0
060614,0.0
060615,0.0
060701,13449.0
060703,0.0
060801,209371.0
060802,8522.0
060803,1308.0
060804,1074.0
060805,367.0
060806,275.0
060807,1110.0
060808,5344.0
060809,738.0
060810,169.0
060811,1799.0
060812,3988.0
060901,9644.0
060902,0.0
060903,0.0
060904,348.0
060905,0.0
060906,0.0
060907,343.0
061001,10414.0
061002,30.0
061003,2.0
061004,86.0
061005,188.0
061006,84.0
061007,1174.0
061101,853.0
061102,0.0
061103,0.0
061104,0.0
061105,0.0
061106,0.0
061107,0.0
061108,0.0
061109,0.0
061110,0.0
061111,0.0
061112,0.0
061113,0.0
061201,2323.0
061202,0.0
061203,0.0
061204,0.0
070101,1413415.0
070102,990565.0
070103,252048.0
070104,87.0
070105,0.0
070106,239618.0
070107,21325.0
080101,147774.0
080104,0.0
080105,13551.0
080106,68662.0
080107,0.0
080108,623289.0
080201,0.0
080202,0.0
080203,0.0
080204,0.0
080205,0.0
080206,0.0
080207,0.0
080408,0.0
080501,0.0
080502,0.0
080503,0.0
080504,0.0
080505,0.0
080506,0.0
080507,0.0
080508,0.0
080601,76058.0
080602,0.0
080603,0.0
080604,0.0
080605,0.0
080606,0.0
080607,0.0
080608,0.0
080701,11160.0
080702,0.0
080703,0.0
080704,0.0
080705,0.0
080706,0.0
080707,0.0
080708,0.0
080801,26930.0
080802,0.0
080803,0.0
080804,0.0
080805,0.0
080806,0.0
080807,0.0
080808,0.0
080901,168450.0
080902,0.0
080903,0.0
080904,0.0
080905,0.0
080906,0.0
080907,21646.0
080908,0.0
080909,0.0
080910,3850.0
080911,0.0
080912,0.0
