Institución,codigo,nombre,Clasificación,Tipo,departamento,provincia,distrito,ubigeo,Dirección,Código DISA,Código Red,Código Microrred,DISA,Red,Microrred,Código UE,Unidad Ejecutora,categoria,Teléfono,Tipo Doc.Categorización,Nro.Doc.Categorización,Horario,Inicio de Actividad,Director Médico y/o Responsable de la Atención de Salud,estado,Situación,Condición,Inspección,longitud,latitud,COTA,CAMAS
GOBIERNO REGIONAL,7050,AMBATO,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,CAJAMARCA,CUTERVO,SANTA CRUZ,060611,COMUNIDAD DE AMBATO,7,13,3,CAJAMARCA,CUTERVO,CHIPLE,787,REGION CAJAMARCA-SALUD CUTERVO,I-1,NO CUENTA CON TELEFONO,RESOLUCIÓN,0150 GR.CAJ/DRSC-DSRSC-RR.HH.DG,8:00 - 14:00,29/06/2006,IDELSO MENOR CHAVEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.85838013,-6.1335228,1724.0,
GOBIERNO REGIONAL,99,SANTA ISABEL DE YUMBATURO,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,LORETO,LORETO,PARINARI,160302,ACTUALIZAR,24,8,1,LORETO,LORETO,NAUTA,870,SALUD LORETO,I-1,ACTUALIZAR,RESOLUCIÓN,,ACTUALIZAR,01/01/1900,JULIO TONY CAITIMARI MACHOA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.25813893,-4.58150907,124.0,
MINSA,7278,PUESTO DE SALUD HEROES DEL CENEPA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,LIMA,LIMA,VILLA EL SALVADOR,150142,"JR. HEROES DEL CENEPA MZ C LT 20, ALT DE PANAM.SUR KM 24",23,3,3,LIMA SUR,VILLA EL SALVADOR - LURIN - PACHACAMAC - PUCUSANA,CESAR LOPEZ SILVA,1685,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA SUR,I-2,7838778,RESOLUCIÓN,,08:00 - 14:00,01/02/2008,BASTIDAS CAMARENA HUBERT ALEX . . ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.9306076,-12.2486993,,
GOBIERNO REGIONAL,5460,NUEVA BETANIA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,UCAYALI,CORONEL PORTILLO,CALLERIA,250101,OTROS CC.NN. NUEVA BETANIA S/N NÚMERO S/N DISTRITO CALLERIA PROVINCIA CORONEL PORTILLO DEPARTAMENTO UCAYALI ,34,1,1,UCAYALI,CORONEL  PORTILLO,SAN FERNANDO,1660,GOB. REG. DE UCAYALI - RED DE SALUD N° 01 CORONEL PORTILLO,I-1,061-813806,RESOLUCIÓN,,7:30 - 17:30,20/12/2000,MARIANA VASQUEZ PINEDO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.29653113,-8.39836581,177.0,
GOBIERNO REGIONAL,6431,PONGO ISLA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,SAN MARTIN,SAN MARTIN,HUIMBAYOC,220907,OTROS CP PONGO ISLA DISTRITO HUIMBAYOC PROVINCIA SAN MARTIN DEPARTAMENTO SAN MARTIN ,30,1,5,SAN MARTIN,SAN MARTIN,HUIMBAYOC,930,SALUD SAN MARTIN,I-1,955672476,RESOLUCIÓN,RD N° 513-2014-GRSM/DIRES-SM/DIREFISSA,7:30-13:30,14/09/2001,MIRLANDA MOZOMBITE BARDALES ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-75.88581167,-6.43829833,172.1,
GOBIERNO REGIONAL,3352,PAJJANA SAN AGUSTIN,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,PUNO,YUNGUYO,YUNGUYO,211301,PAJANA SAN AGUSTIN SECTOR BELLAVISTA,29,4,4,PUNO,YUNGUYO,AYCHUYO,967,SALUD YUNGUYO,I-1,951-908690,RESOLUCIÓN,,8.00- 18.00,01/12/1990,MARUJA APAZA MAMANI ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-69.03532667,-16.26196833,3827.7,
GOBIERNO REGIONAL,2941,CARLOS CORNEJO ROSELLO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PUNO,AZANGARO,AZANGARO,210201,JR- FRANCISCO BOLOGNESI Nº 557,29,2,0,PUNO,AZANGARO,NO PERTENECE A NINGUNA MICRORED,916,SALUD AZANGARO,II-1,051-562013,RESOLUCIÓN,,24 HORAS,07/01/1977,WAGNER CACERES LOBATON ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-70.19933924,-14.9041434,3911.312,45.0
GOBIERNO REGIONAL,3101,JACHAJAA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,PUNO,MOHO,MOHO,210901,COMUNIDAD DE JACHAJA,29,8,4,PUNO,HUANCANE,MOHO,918,SALUD HUANCANE,I-2, ,RESOLUCIÓN,,08:00  18:00,25/06/1988,PASCUAL MAMANI LOPEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-69.62749511,-15.29109598,3870.0,
GOBIERNO REGIONAL,3309,MARIANO MELGAR,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,PUNO,SAN ROMAN,SAN MIGUEL,211105,JIRÓN AYABACAS MZ-1 S/N SAN MIGUEL SAN ROMAN PUNO ,29,11,1,PUNO,SAN ROMAN,JULIACA,917,SALUD SAN ROMAN,I-2,051-951539276,RESOLUCIÓN,,7-.30 - 19:30,30/10/1990,EULOGIA QUISPE VILCA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-70.13631597,-15.47227834,3874.0,
GOBIERNO REGIONAL,991,TUNANCANCHA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,190201,TUNANCANCHA,27,2,3,PASCO,DANIEL CARRION,YANAHUANCA,889,SALUD PASCO,I-1, ,RESOLUCIÓN,264-2005-DG-DIRESA/GR PASCO,08:00-2:00PM,01/01/1900,JORGE LUIS CORREA JIMENEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.45851307,-10.67929002,4494.659,
GOBIERNO REGIONAL,568,CONGAS ANTACUCHO,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,JUNIN,TARMA,HUARICOLCA,120703,"CALLE CALLE 28 DE JULIO S/N , PLAZA PRINCIPAL NÚMERO S/N DISTRITO HUARICOLCA PROVINCIA TARMA DEPARTAMENTO JUNIN ",17,3,2,JUNIN,TARMA,PALCA,827,SALUD TARMA,I-1,964802419,RESOLUCIÓN,431-2016-DRSJ/OEGDRH,SEGUN ROL,20/11/1981,LUCIA OTILIA CAJAMALQUI HUAMAN ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-75.55218504,-11.49122055,3549.0,
GOBIERNO REGIONAL,1285,PUESTO DE SALUD MOLLEBAYA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AREQUIPA,AREQUIPA,MOLLEBAYA,040111,CALLE CALLE TEODORO NUÑEZ S/N NÚMERO S/N DISTRITO MOLLEBAYA PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA ,4,3,21,AREQUIPA,AREQUIPA CAYLLOMA,CHARACATO,1222,SALUD RED PERIFERICA AREQUIPA,I-1,054-696713,RESOLUCIÓN,787-2015,6 HORAS,27/05/1986,OFELIA HAYDEE MERMA HUACO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-71.46648596,-16.4865984,,
GOBIERNO REGIONAL,1516,CARHUAZ,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ANCASH,CARHUAZ,CARHUAZ,020601,JR. UNION S/N CARHUAZ,2,1,0,ANCASH,HUAYLAS SUR,NO PERTENECE A NINGUNA MICRORED,740,REGION ANCASH-SALUD RECUAY CARHUAZ,II-1,43394428,RESOLUCIÓN,0522-05-RG-ANCASH-DIRES/DIPER,24 HORAS,01/01/1900,MAGALY MIRTHA SUAREZ ACEVEDO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.6493849,-9.27748394,2643.542,
GOBIERNO REGIONAL,4899,MARIA,CENTROS DE SALUD O CENTROS MEDICOS,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,LUYA,MARIA,010511,AVENIDAD CARRETERA A KUELAP S/N - MARÍA,1,1,22,AMAZONAS,CHACHAPOYAS,MARIA,725,REGION AMAZONAS-SALUD,I-3, ,RESOLUCIÓN,,8:00 - 20:00,18/10/1992,SILVIA AURORA TORREJON GOMEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.96287947,-6.43024257,2780.804,
