IDDPTO,departamento,IDPROV,provincia,ubigeo,distrito,CAPITAL,CODCCPP,AREA,FUENTE,n_facilities,n_hicat_facilities,n_centros_poblados,pct_cp_within_5km,pct_cp_within_10km,pct_cp_hicat_within_5km,pct_cp_hicat_within_10km,total_emergencias,comp_facility_base,comp_emergency_base,comp_access_base,ehai_base,category_base,comp_facility_alt,comp_emergency_alt,comp_access_alt,ehai_alt,category_alt
10,HUANUCO,1009,PUERTO INCA,100902,CODO DEL POZUZO,CODO DEL POZUZO,0001,1,INEI,6,0,69,21.73913043478261,53.6231884057971,0.0,0.0,0.0,0.0008988743659472596,0.0,0.21739130434782608,0.0727633929045911,Underserved,0.0,0.0,0.0,0.0,Well-served
10,HUANUCO,1009,PUERTO INCA,100904,TOURNAVISTA,TOURNAVISTA,0001,1,INEI,4,0,46,34.78260869565217,80.43478260869566,0.0,0.0,0.0,0.0011094689454389617,0.0,0.34782608695652173,0.11631185196732022,Underserved,0.0,0.0,0.0,0.0,Well-served
25,UCAYALI,2503,PADRE ABAD,250305,ALEXANDER VON HUMBOLDT,ALEXANDER VON HUMBOLDT,0001,1,INEI,3,0,14,92.85714285714286,100.0,0.0,0.0,0.0,0.0070538054845958095,0.0,0.9285714285714286,0.3118750780186748,Moderate-High,0.0,0.0,0.0,0.0,Well-served
25,UCAYALI,2503,PADRE ABAD,250302,IRAZOLA,SAN ALEJANDRO,0001,1,INEI,6,0,28,57.142857142857146,89.28571428571429,0.0,0.0,0.0,0.0015435750372179817,0.0,0.5714285714285715,0.19099071548859647,Underserved,0.0,0.0,0.0,0.0,Well-served
25,UCAYALI,2503,PADRE ABAD,250304,NESHUYA,MONTE ALEGRE,0001,1,INEI,7,0,26,88.46153846153847,100.0,0.0,0.0,0.0,0.005419008343666572,0.0,0.8846153846153847,0.29667813098635043,Moderate-High,0.0,0.0,0.0,0.0,Well-served
25,UCAYALI,2503,PADRE ABAD,250301,PADRE ABAD,AGUAYTIA,0001,1,INEI,14,0,92,42.391304347826086,85.8695652173913,0.0,0.0,541.0,0.0014335440943518366,0.00019380615587101895,0.42391304347826086,0.14184679790949456,Underserved,0.0,0.00019380615587101895,0.0,3.876123117420379e-05,Well-served
25,UCAYALI,2503,PADRE ABAD,250303,CURIMANA,CURIMANA,0001,1,INEI,7,0,32,90.625,96.875,0.0,0.0,0.0,0.0017991223787232706,0.0,0.90625,0.30268304079290775,Moderate-High,0.0,0.0,0.0,0.0,Well-served
10,HUANUCO,1009,PUERTO INCA,100901,PUERTO INCA,PUERTO INCA,0001,1,INEI,9,0,70,45.714285714285715,77.14285714285714,0.0,0.0,0.0,0.0018182044696257533,0.0,0.45714285714285713,0.15298702053749427,Underserved,0.0,0.0,0.0,0.0,Well-served
25,UCAYALI,2501,CORONEL PORTILLO,250106,NUEVA REQUENA,NUEVA REQUENA,0001,1,INEI,6,0,56,78.57142857142857,100.0,0.0,0.0,0.0,0.0014056321385277474,0.0,0.7857142857142857,0.2623733059509378,Moderate-Low,0.0,0.0,0.0,0.0,Well-served
25,UCAYALI,2501,CORONEL PORTILLO,250102,CAMPOVERDE,CAMPO VERDE,0001,1,INEI,24,0,68,89.70588235294117,100.0,0.0,2.9411764705882355,29.0,0.00874404358456687,1.0388869723215435e-05,0.8970588235294117,0.30193775199456724,Moderate-High,0.0,1.0388869723215435e-05,0.029411764705882356,0.017649136597474056,Well-served
