ubigeo,distrito,ehai_base,category_base,ehai_alt,category_alt,ehai_change,rank_base,rank_alt,rank_change,category_shift
150101,LIMA,0.995543560674431,Well-served,0.8908148695953259,Well-served,-0.1047286910791051,1,2,-1,False
150113,JESUS MARIA,0.8183508517141694,Well-served,0.8910105110285017,Well-served,0.07265965931433227,2,1,1,False
070102,BELLAVISTA,0.7692952287041677,Well-served,0.8615771372225006,Well-served,0.09228190851833296,3,3,0,False
040126,YANAHUARA,0.6910291108631932,Well-served,0.7949286675918054,Well-served,0.10389955672861217,4,4,0,False
130103,FLORENCIA DE MORA,0.6588260764046998,Well-served,0.6898780116998491,Well-served,0.03105193529514927,5,16,-11,False
150110,COMAS,0.6336362517474841,Well-served,0.7318052289209865,Well-served,0.09816897717350248,6,7,-1,False
070101,CALLAO,0.6236299550936053,Well-served,0.7101349705804099,Well-served,0.08650501548680456,7,11,-4,False
150133,SAN JUAN DE MIRAFLORES,0.618834010196254,Well-served,0.6508131533306805,Well-served,0.03197914313442651,8,30,-22,False
150122,MIRAFLORES,0.6162204849342173,Well-served,0.790831935304943,Well-served,0.17461145037072567,9,6,3,False
070103,CARMEN DE LA LEGUA REYNOSO,0.6143460702102166,Well-served,0.73097037613942,Well-served,0.11662430592920336,10,9,1,False
040101,AREQUIPA,0.5813384582978733,Well-served,0.7930844304648886,Well-served,0.2117459721670153,11,5,6,False
080108,WANCHAQ,0.5777681442095073,Well-served,0.7211599204475769,Well-served,0.14339177623806965,12,10,2,False
150115,LA VICTORIA,0.5766373179362363,Well-served,0.7090300411270558,Well-served,0.13239272319081952,13,12,1,False
150141,SURQUILLO,0.5490305972339151,Well-served,0.6512283334261358,Well-served,0.10219773619222072,14,29,-15,False
150137,SANTA ANITA,0.5338923507136122,Well-served,0.6412526014099315,Well-served,0.10736025069631927,15,35,-20,False
150128,RIMAC,0.5296194649306292,Well-served,0.605790541041588,Well-served,0.07617107611095886,16,67,-51,False
130101,TRUJILLO,0.5265338526886589,Well-served,0.7033456643575833,Well-served,0.17681181166892435,17,13,4,False
150143,VILLA MARIA DEL TRIUNFO,0.5241263619869057,Well-served,0.6736666870861692,Well-served,0.14954032509926352,18,23,-5,False
150142,VILLA EL SALVADOR,0.5223216374810504,Well-served,0.6691881272788267,Well-served,0.14686648979777628,19,24,-5,False
150132,SAN JUAN DE LURIGANCHO,0.518719700374597,Well-served,0.6861489821236701,Well-served,0.16742928174907312,20,17,3,False
